pickup_month,precipitation,snow_depth,snowfall,max_temp,min_temp,avg_wind
1,26.785479021300038,38.78545606867426,8.70218968049945,30.41012325560044,-35.850543977231,30.43869353654058
2,28.857769177274513,112.37297493423638,10.716372872131346,47.60170531853778,-24.951537507936987,32.092722160070146
3,36.24297524271314,26.046948202994464,3.5837455907566973,101.23762954711748,19.958850702748748,31.4092651443174
4,34.86181513593272,0.0,0.0,172.42334681288935,76.50418531893295,28.946520000221884
5,39.26857974949637,0.0,0.0,226.21440614872557,133.60001532801962,20.904758255233425
6,46.824358945163056,0.0,0.0,263.4923312534159,177.35898501548553,20.20930497358353
7,35.05067712811694,0.0,0.0,300.8360785683577,213.02193277085124,19.990064757093723
8,38.264634601043994,0.0,0.0,284.7549761945735,201.9205673148626,18.037249756209487
9,35.46633399687954,0.0,0.0,245.25030263087103,164.4043686447517,20.484841555926184
10,34.011440592308084,0.0,0.4983322383383029,179.66681406984384,108.71807878910396,24.11831631879517
11,22.778212237865777,0.5834926104396048,0.6410813793846071,121.06162005007134,52.73024739548281,27.189254852343392
12,41.213594752109,13.914821566383692,4.066323815099662,68.53378396359476,7.964798946163877,30.547642174734545
